AGS,last7,last14,mix,Gemeinde
9184112,6,13,6.0,Aschheim
9184137,1,3,1.0,Aying
9184113,2,3,2.0,Baierbrunn
9184114,3,6,3.0,Brunnthal
9184118,8,16,8.0,Feldkirchen
9184119,18,57,18.0,Garching
9184120,10,17,10.0,Gräfelfing
9184121,4,7,4.0,Grasbrunn
9184122,6,12,6.0,Grünwald
9184123,28,56,28.0,Haar
9184129,4,4,4.0,Hohenbrunn
9184127,3,10,3.0,Höhenkirchen-Siegertsbrunn
9184130,15,23,15.0,Ismaning
9184131,2,9,2.0,Kirchheim
9184146,5,9,5.0,Neubiberg
9184132,4,6,4.0,Neuried
9184134,11,21,11.0,Oberhaching
9184135,8,24,8.0,Oberschleißheim
9184136,19,42,19.0,Ottobrunn
9184138,10,16,10.0,Planegg
9184139,1,4,1.0,Pullach
9184140,5,6,5.0,Putzbrunn
9184141,4,4,4.0,Sauerlach
9184142,4,7,4.0,Schäftlarn
9184144,0,0,0.2,Straßlach-Dingharting
9184145,23,47,23.0,Taufkirchen
9184147,5,9,5.0,Unterföhring
9184148,14,27,14.0,Unterhaching
9184149,52,97,52.0,Unterschleißheim
9162000,949,2665,949.0,Stadt München
