Stadt/Gemeinde,04_16_2021,04_17_2021,04_18_2021,04_19_2021,04_20_2021,04_21_2021,04_22_2021,04_23_2021,04_24_2021,04_25_2021,04_26_2021,04_27_2021,04_28_2021,04_29_2021,04_30_2021,05_01_2021,05_02_2021,05_03_2021,05_04_2021,05_05_2021,05_06_2021,05_07_2021,05_08_2021,05_09_2021,05_10_2021,05_11_2021,05_12_2021,05_13_2021,05_14_2021,05_15_2021,05_16_2021,05_17_2021,05_18_2021,05_19_2021,05_20_2021,05_21_2021,05_22_2021,05_23_2021,05_24_2021,05_25_2021,05_26_2021,05_27_2021,05_28_2021,05_29_2021,05_30_2021,05_31_2021,06_01_2021,06_02_2021,06_03_2021,06_04_2021,06_05_2021,06_06_2021,06_07_2021,06_08_2021,06_09_2021,06_10_2021,06_11_2021,06_12_2021,06_13_2021,06_14_2021,06_15_2021,06_16_2021,06_17_2021,06_18_2021,06_19_2021,06_20_2021,06_21_2021,06_22_2021,06_23_2021,06_24_2021,06_25_2021,06_26_2021,06_27_2021,06_28_2021,06_29_2021,06_30_2021,07_01_2021,07_02_2021,07_03_2021,07_04_2021,07_05_2021,07_06_2021,07_07_2021,07_08_2021,07_09_2021,07_10_2021,07_11_2021,07_12_2021,07_13_2021,07_14_2021,07_15_2021,07_16_2021,07_17_2021,07_18_2021,07_19_2021,07_20_2021,07_21_2021,07_22_2021,07_23_2021,07_24_2021,07_25_2021,07_26_2021,07_27_2021,07_28_2021,07_29_2021,07_30_2021,07_31_2021,08_01_2021,08_02_2021,08_03_2021,08_04_2021,08_05_2021,08_06_2021,08_07_2021,08_08_2021,08_09_2021,08_10_2021,08_11_2021,08_12_2021,08_13_2021,08_14_2021,08_15_2021,08_16_2021,08_17_2021,08_18_2021,08_19_2021,08_20_2021,08_21_2021,08_22_2021,08_23_2021,08_24_2021,08_25_2021,08_26_2021,08_27_2021,08_28_2021,08_29_2021,08_30_2021,08_31_2021,09_01_2021,09_02_2021,09_03_2021,09_04_2021,09_05_2021,09_06_2021,09_07_2021,09_08_2021,09_09_2021,09_10_2021,09_11_2021,09_12_2021,09_13_2021,09_14_2021,09_15_2021,09_16_2021,09_17_2021
Friedrichsthal,0,4,0,0,1,1,1,0,2,0,0,1,2,1,0,1,1,0,1,7,4,7,0,0,0,4,2,0,0,1,0,1,6,0,2,4,1,0,0,0,0,0,2,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,1,2,0,0,2,0,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,1,4,1,0,0,0,1,0,1,0
Großrosseln,3,0,3,1,2,0,2,1,1,0,1,1,4,1,2,4,0,0,2,6,2,0,2,3,1,3,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heusweiler,2,2,1,1,6,4,7,1,0,0,1,0,1,2,0,3,0,0,3,0,0,4,4,0,1,2,2,3,1,3,1,0,3,0,0,1,0,1,0,2,1,0,1,5,0,0,8,4,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,4,7,1,3,0,9,6,2,2,3,0,3,0,2,1,3,8,1,0,3,4,1,0,8,0,0,4,0,0,1
Kleinblittersdorf,1,0,1,0,0,3,4,2,2,0,0,5,1,3,1,0,1,1,0,1,2,1,0,0,0,0,1,2,0,2,0,0,1,1,3,0,1,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,1,1,3,3,2,0,0,4,0,0,1,3,1,0,0,2,0,0,0,0,0,0,4,1,4,0,0,0,13,0,2,0
Püttlingen,2,0,0,1,3,4,8,3,3,1,1,1,7,4,2,4,1,0,2,0,6,4,2,0,0,6,4,1,1,1,1,0,0,5,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,1,0,0,0,1,0,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,5,6,5,2,3,0,0,12,4,3,3,10,1,0,1,4,2,4,0,1,1,4,1,3,2
Quierschied,3,4,1,0,3,5,1,4,2,0,0,2,9,0,7,1,1,0,0,3,3,1,2,1,0,1,1,3,0,0,0,0,0,1,2,0,4,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1,4,1,2,0,1,0,0,0,1,2,1,0,1,0,2,4,8,3,0,2,0,4,0,4,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
Riegelsberg,4,1,2,2,5,5,5,3,6,0,1,8,4,0,2,1,0,2,3,3,3,2,1,0,0,1,3,0,0,1,1,0,2,2,2,6,1,0,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,2,2,2,0,1,0,1,0,0,0,2,8,1,5,2,0,2,6,7,5,0,8,0,0,0,4,2,4,0,0,0,0,1,0,0
Saarbrücken,66,63,10,26,51,86,77,43,60,16,17,83,76,69,38,48,13,10,54,59,35,29,32,8,19,37,49,37,6,36,13,10,40,33,30,28,36,0,5,4,13,8,21,17,0,1,13,16,10,6,5,5,0,10,11,9,10,8,1,0,7,8,5,12,4,0,2,4,1,2,1,1,0,3,4,5,3,3,2,1,0,7,5,4,2,0,1,0,1,2,5,3,3,3,2,11,10,8,12,13,4,6,11,17,11,5,0,0,7,26,16,17,19,11,0,1,31,21,22,9,19,5,7,15,15,74,22,31,8,11,35,41,19,25,24,8,3,45,56,39,38,43,13,3,28,45,23,19,39,1,4,32,23,24,12
Sulzbach/Saar,2,4,0,0,3,3,2,1,4,0,1,2,1,6,1,4,0,0,1,1,2,2,5,2,3,1,0,5,0,1,0,0,4,5,4,6,1,2,1,1,3,8,1,0,0,0,7,5,2,1,2,0,0,1,1,4,1,0,1,0,1,1,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,1,0,3,3,0,0,0,1,1,1,0,1,1,1,0,1,4,2,2,1,0,3,1,1,2,1,0,0,3,3,2,1,2,0,0,0,0,0,3,1,0,0,1,0,3,0
Völklingen,22,9,2,1,12,15,9,10,10,0,5,15,16,18,10,17,2,4,11,11,18,10,18,1,2,13,16,6,1,13,1,3,7,16,13,7,8,0,0,1,0,3,4,0,1,1,3,1,1,2,0,0,0,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,1,4,2,0,0,2,0,0,6,4,3,3,0,3,1,8,5,2,5,2,0,0,12,10,1,4,8,3,3,6,8,18,5,5,1,5,8,4,5,4,11,3,0,8,11,8,5,11,2,0,22,13,9,3,8,3,2,16,11,8,9
